Id,Sq_Footage,AvgSalePrice,OverallQual,Average Price/SqFt
534,334,39300.00,1,117.6646706586826347
1101,438,60000.00,2,136.9863013698630137
917,480,35311.00,2,73.5645833333333333
30,520,68500.00,4,131.7307692307692308
529,605,86000.00,4,142.1487603305785124
697,616,89000.00,5,144.4805194805194805
435,630,81000.00,4,128.5714285714285714
490,630,86000.00,4,136.5079365079365079
615,630,75500.00,4,119.8412698412698413
650,630,84500.00,4,134.1269841269841270
1040,630,80000.00,4,126.9841269841269841
1450,630,92000.00,5,146.0317460317460317
403,672,108000.00,5,160.7142857142857143
1213,672,113000.00,4,168.1547619047619048
1002,691,86000.00,5,124.4573082489146165
1338,693,52500.00,4,75.7575757575757576
439,694,90350.00,5,130.1873198847262248
1124,698,118000.00,5,169.0544412607449857
1324,708,82500.00,4,116.5254237288135593
354,720,105900.00,6,147.0833333333333333
496,720,34900.00,4,48.4722222222222222
1322,720,72500.00,3,100.6944444444444444
711,729,52000.00,3,71.3305898491083676
69,747,80000.00,4,107.0950468540829987
936,747,79900.00,4,106.9611780455153949
373,752,125000.00,6,166.2234042553191489
126,754,84500.00,6,112.0689655172413793
265,764,73000.00,5,95.5497382198952880
544,767,133000.00,7,173.4028683181225554
548,768,129500.00,5,168.6197916666666667
953,768,133900.00,5,174.3489583333333333
1407,768,133000.00,5,173.1770833333333333
798,773,110000.00,5,142.3027166882276843
1327,774,79000.00,3,102.0671834625322997
269,778,120500.00,5,154.8843187660668380
60,780,124900.00,5,160.1282051282051282
384,784,76000.00,6,96.9387755102040816
827,784,109500.00,5,139.6683673469387755
394,788,100000.00,4,126.9035532994923858
108,789,115000.00,5,145.7541191381495564
515,789,96500.00,5,122.3067173637515843
1377,790,91000.00,6,115.1898734177215190
678,792,109500.00,5,138.2575757575757576
639,796,85000.00,5,106.7839195979899497
1326,796,55000.00,4,69.0954773869346734
637,800,60000.00,2,75.0000000000000000
326,803,87000.00,5,108.3437110834371108
1429,804,119000.00,5,148.0099502487562189
451,813,110000.00,6,135.3013530135301353
53,816,110000.00,5,134.8039215686274510
275,816,124500.00,5,152.5735294117647059
583,816,118500.00,6,145.2205882352941176
593,816,138000.00,5,169.1176470588235294
1113,816,129900.00,5,159.1911764705882353
1154,816,120500.00,6,147.6715686274509804
1328,816,130500.00,5,159.9264705882352941
1333,816,100000.00,4,122.5490196078431373
549,825,125000.00,5,151.5151515151515152
533,827,107500.00,5,129.9879081015719468
618,832,105500.00,6,126.8028846153846154
1115,833,117000.00,5,140.4561824729891957
1408,833,112000.00,5,134.4537815126050420
99,835,83000.00,5,99.4011976047904192
587,838,130000.00,6,155.1312649164677804
128,840,87000.00,5,103.5714285714285714
342,841,82000.00,4,97.5029726516052319
72,845,129500.00,4,153.2544378698224852
1036,845,84000.00,4,99.4082840236686391
204,848,149000.00,6,175.7075471698113208
594,848,140000.00,6,165.0943396226415094
691,848,141000.00,6,166.2735849056603774
722,848,143000.00,6,168.6320754716981132
812,848,144500.00,6,170.4009433962264151
851,848,131500.00,6,155.0707547169811321
1079,848,155900.00,6,183.8443396226415094
1369,848,144000.00,6,169.8113207547169811
1423,848,136500.00,6,160.9669811320754717
1442,848,149300.00,6,176.0613207547169811
16,854,132000.00,7,154.5667447306791569
288,858,88000.00,4,102.5641025641025641
771,858,134900.00,5,157.2261072261072261
901,858,110000.00,4,128.2051282051282051
961,858,116500.00,5,135.7808857808857809
588,860,137000.00,5,159.3023255813953488
309,861,82500.00,4,95.8188153310104530
141,864,115000.00,4,133.1018518518518519
195,864,127000.00,5,146.9907407407407407
211,864,98000.00,5,113.4259259259259259
224,864,97000.00,4,112.2685185185185185
278,864,141000.00,4,163.1944444444444444
463,864,62383.00,5,72.2025462962962963
513,864,129900.00,5,150.3472222222222222
538,864,111250.00,4,128.7615740740740741
572,864,120000.00,6,138.8888888888888889
621,864,67000.00,3,77.5462962962962963
723,864,124500.00,4,144.0972222222222222
726,864,120500.00,4,139.4675925925925926
761,864,127500.00,6,147.5694444444444444
848,864,133500.00,5,154.5138888888888889
880,864,136500.00,5,157.9861111111111111
951,864,129000.00,5,149.3055555555555556
1201,864,116050.00,4,134.3171296296296296
1258,864,99900.00,5,115.6250000000000000
1295,864,115000.00,5,133.1018518518518519
1340,864,128500.00,5,148.7268518518518519
1381,864,58500.00,3,67.7083333333333333
1437,864,120500.00,4,139.4675925925925926
242,866,110500.00,5,127.5981524249422633
977,869,85500.00,4,98.3889528193325662
1341,872,123000.00,4,141.0550458715596330
1253,874,130000.00,5,148.7414187643020595
147,875,105000.00,5,120.0000000000000000
164,882,103200.00,4,117.0068027210884354
260,882,97000.00,5,109.9773242630385488
393,882,106500.00,5,120.7482993197278912
1026,882,112500.00,5,127.5510204081632653
43,884,144000.00,5,162.8959276018099548
495,886,91300.00,5,103.0474040632054176
885,892,100000.00,5,112.1076233183856502
1357,892,110000.00,5,123.3183856502242152
1070,893,135000.00,5,151.1758118701007839
234,894,128200.00,5,143.4004474272930649
304,894,149900.00,5,167.6733780760626398
397,894,123000.00,5,137.5838926174496644
699,894,138500.00,5,154.9217002237136465
778,894,142500.00,5,159.3959731543624161
871,894,109500.00,5,122.4832214765100671
979,894,110000.00,4,123.0425055928411633
1062,894,81000.00,3,90.6040268456375839
1118,894,130000.00,5,145.4138702460850112
1163,894,129000.00,5,144.2953020134228188
1216,894,125000.00,5,139.8210290827740492
499,899,130000.00,5,144.6051167964404894
27,900,134800.00,5,149.7777777777777778
289,900,122000.00,5,135.5555555555555556
1393,900,123000.00,5,136.6666666666666667
789,901,107900.00,4,119.7558268590455050
905,902,125500.00,5,139.1352549889135255
909,902,131000.00,5,145.2328159645232816
376,904,61000.00,1,67.4778761061946903
438,904,119000.00,6,131.6371681415929204
710,904,109900.00,5,121.5707964601769912
428,907,109008.00,4,120.1852260198456450
873,910,116000.00,5,127.4725274725274725
13,912,144000.00,5,157.8947368421052632
229,912,125000.00,5,137.0614035087719298
361,912,156000.00,6,171.0526315789473684
500,912,120000.00,5,131.5789473684210526
742,912,142000.00,6,155.7017543859649123
774,912,114500.00,5,125.5482456140350877
1219,912,80500.00,4,88.2675438596491228
1221,912,115000.00,5,126.0964912280701754
1228,912,147000.00,5,161.1842105263157895
1446,913,129000.00,6,141.2924424972617744
377,914,148000.00,5,161.9256017505470460
973,918,99500.00,6,108.3877995642701525
681,923,143000.00,6,154.9295774647887324
1177,923,119500.00,5,129.4691224268689057
595,924,110000.00,5,119.0476190476190476
891,924,122900.00,5,133.0086580086580087
1145,924,80000.00,4,86.5800865800865801
932,925,117500.00,5,127.0270270270270270
527,928,132000.00,5,142.2413793103448276
552,928,112500.00,5,121.2284482758620690
1050,930,84900.00,4,91.2903225806451613
1151,932,124000.00,6,133.0472103004291845
590,935,79500.00,5,85.0267379679144385
1273,935,137000.00,5,146.5240641711229947
822,936,93000.00,4,99.3589743589743590
1095,936,129000.00,5,137.8205128205128205
1130,936,140000.00,5,149.5726495726495726
44,938,130250.00,5,138.8592750533049041
570,943,135960.00,5,144.1781548250265111
1001,944,82000.00,3,86.8644067796610169
735,948,108000.00,5,113.9240506329113924
